route,title,template,seo_title,meta_description,publication_status,copy_file
/,A brighter way to live,home,A brighter way to live | Splendid Double Glazing,"Windows, doors and glazed living spaces from Splendid Double Glazing on Sidcup Road. Explore the collection and discuss your home improvement project.",draft copy; client review,content/pages/home.md
/windows,Windows,product-hub,Windows | Splendid Double Glazing,Explore window styles and materials with Splendid Double Glazing on Sidcup Road. Discuss glazing options and a tailored written quotation.,draft copy; client review,content/pages/windows.md
/windows/double-glazing,Double glazing,product,Double glazing | Splendid Double Glazing,"Two panes of glass, one thoughtful upgrade. Replacement double glazing helps reduce draughts and brings a fresh finish to the rooms you use every day.",draft copy; client review,content/pages/windows--double-glazing.md
/windows/triple-glazing,Triple glazing,product,Triple glazing | Splendid Double Glazing,An additional pane of glass offers another option when thermal insulation is a priority. Explore whether triple glazing is the right fit for your home.,draft copy; client review,content/pages/windows--triple-glazing.md
/windows/upvc-windows,uPVC windows,product,uPVC windows | Splendid Double Glazing,"Clean lines, versatile styles and easy care. uPVC windows are a practical choice for refreshing a family home without adding a demanding maintenance routine.",draft copy; client review,content/pages/windows--upvc-windows.md
/windows/aluminium-windows,Aluminium windows,product,Aluminium windows | Splendid Double Glazing,Refined profiles and a contemporary finish put daylight at the centre of your home. Aluminium is a natural partner for modern renovations and extensions.,draft copy; client review,content/pages/windows--aluminium-windows.md
/windows/sash-windows,Sash windows,product,Sash windows | Splendid Double Glazing,"Preserve the proportions that make a period home special. Sliding sash styles bring familiar elegance to terraces, townhouses and traditional properties.",draft copy; client review,content/pages/windows--sash-windows.md
/windows/bay-windows,Bay windows,product,Bay windows | Splendid Double Glazing,Turn a window into the focal point of your room. Bay designs create an expansive outlook and make the most of the light through the day.,draft copy; client review,content/pages/windows--bay-windows.md
/doors,Doors,product-hub,Doors | Splendid Double Glazing,"Explore entrance and garden door ideas with Splendid Double Glazing. Discuss materials, glazing, opening arrangements and your project.",draft copy; client review,content/pages/doors.md
/doors/composite-doors,Composite doors,product,Composite doors | Splendid Double Glazing,"Set the tone before you step inside. Explore composite entrance doors with characterful colours, glazing details and hardware that complete your home.",draft copy; client review,content/pages/doors--composite-doors.md
/doors/upvc-doors,uPVC doors,product,uPVC doors | Splendid Double Glazing,"A versatile choice for front, side and rear entrances. uPVC doors combine a clean appearance with straightforward care.",draft copy; client review,content/pages/doors--upvc-doors.md
/doors/aluminium-doors,Aluminium doors,product,Aluminium doors | Splendid Double Glazing,Bring crisp architectural lines to your entrance or extension with aluminium doors in a finish chosen for your property.,draft copy; client review,content/pages/doors--aluminium-doors.md
/doors/bifold-doors,Bifold doors,product,Bifold doors | Splendid Double Glazing,"Fold back the boundary between your home and garden. Bifold doors create a generous opening for long lunches, warm evenings and everyday living.",draft copy; client review,content/pages/doors--bifold-doors.md
/doors/patio-doors,Sliding patio doors,product,Sliding patio doors | Splendid Double Glazing,Expansive glass and a smooth sliding opening bring your garden into view. A considered choice where you want light without a door swinging into the room.,draft copy; client review,content/pages/doors--patio-doors.md
/doors/french-doors,French doors,product,French doors | Splendid Double Glazing,"A familiar pair of glazed doors can change the way a room feels. French doors offer an elegant link to a patio, balcony or garden.",draft copy; client review,content/pages/doors--french-doors.md
/conservatories,Conservatories,living-space,Conservatories | Splendid Double Glazing,"Explore ideas for a glazed living space, from traditional conservatories to contemporary layouts. Discuss your plans with Splendid Double Glazing.",draft copy; client review,content/pages/conservatories.md
/porches,Porches,living-space,Porches | Splendid Double Glazing,"Plan a welcoming entrance with Splendid Double Glazing. Explore porch layouts, glazing, privacy and practical details for your home.",draft copy; client review,content/pages/porches.md
